external_id,name,category,subcategory,city,state,country,latitude,longitude,description,tags,avg_cost,avg_rating,crowd_level,popularity_score,is_outdoor,opening_hours,best_season,created_at,updated_at,last_synced
,Gangapur Dam & Backwaters,GENERAL,,Nashik,Maharashtra,India,20.0134,73.4002,"A peaceful waterfront location ideal for sunsets, 
nature walks and quiet outings. Its popular among photography lovers and cyclists due to scenic open views. The area has developed cafes and sitting areas nearby.",,,4.1,HIGH,8.2,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter"",""monsoon""}",41:49.0,41:49.0,41:49.0
,Ramshej Fort,GENERAL,,Nashik,Maharashtra,India,20.0644,73.4602,"A historic hill fort associated with Shivaji Maharajs 
campaigns and Maratha resistance. The fort offers a moderately simple trekking route with beautiful views of nearby villages and mountains. It is a peaceful destination for nature lovers, trekkers and history enthusiasts.",,,4,MEDIUM,8,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter""}",41:49.0,41:49.0,41:49.0
,Bhorgad/Dehergad Fort,GENERAL,,Nashik,Maharashtra,India,20.7222,73.4419,"A lesser-known fort near Igatpuri offering a quiet 
trekking experience away from city crowds. The trail passes through natural landscapes and leads to panoramic views at the summit. It is suitable for beginner-level trekkers and weekend adventure trips.",,,4.1,HIGH,8.2,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter"",""monsoon""}",41:49.0,41:49.0,41:49.0
,Vaitarna Dam,GENERAL,,Nashik,Maharashtra,India,19.6708,73.2905,"A calm and scenic lake-side location offering stunning
sunset views and peaceful surroundings. The area is popular among riders, photographers and visitors wanting a nature break. The quiet lakeside atmosphere makes it ideal for relaxation and casual outdoor exploration.",,,4,MEDIUM,8,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter"",""monsoon""}",41:49.0,41:49.0,41:49.0
,Coin Museum,GENERAL,,Nashik,Maharashtra,India,19.9125,73.5532,"A unique museum dedicated to Indian coins, currency
evolution, minting processes and historical exhibits. Visitors can view rare coins, artifacts, and educational displays. It's an informative stop for students, families, and history enthusiasts.",,,4.1,MEDIUM,8.2,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter"",""monsoon""}",41:49.0,41:49.0,41:49.0
,"Grape Park / Vinchur
 Wine Park",GENERAL,,Nashik,Maharashtra,India,20.312,73.805,"A developing wine tourism and agricultural processing
zone dedicated to vineyards and wine-based industries. Visitors can explore grape farms, wineries, and training facilities related to viticulture. It represents Nashiks identity as India's wine capital.",,,3.8,MEDIUM,7.6,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter"",""monsoon""}",41:49.0,41:49.0,41:49.0
,Deolali Camp,GENERAL,,Nashik,Maharashtra,India,19.89,73.821,"One of India's oldest cantonment towns with British-
era buildings, greenery, and peaceful military surroundings. The area has temples, churches, parks, and cafes, making it a calm getaway from crowded city areas. It's great for slow travel, walks, and heritage lovers.",,,4.1,MEDIUM,8.2,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter""}",41:49.0,41:49.0,41:49.0
,Tapovan,GENERAL,,Nashik,Maharashtra,India,20.005,73.818,"A sacred spiritual zone believed to be associated with 
the Ramayana era, especially connected with meditation of Lord Rama and Lakshman. The area has temples, ashrams, ghats and peaceful riverside surroundings. It remains an important pilgrimage and cultural point in Nashik.",,,4.1,MEDIUM,8.2,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter""}",41:49.0,41:49.0,41:49.0
,Salher Fort,GENERAL,,Nashik,Maharashtra,India,20.7247,73.9428,"A majestic fort in the Satmala hill range known for its
significance in Maratha history. Although the fort top is a trek outside 50 km, the access points lie within range and attract trekking groups seasonally. The summit offers breathtaking mountain valleys and historical remnants.",,,3.8,MEDIUM,7.6,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter"",""monsoon""}",41:49.0,41:49.0,41:49.0
,Igatpuri Hill Station,GENERAL,,Nashik,Maharashtra,India,19.4142,73.3345,"A beautiful hill town known for lush mountains, misty 
views, and cool pleasant weather. Popular among nature lovers and weekend travelers from Mumbai and Nashik. The area has many viewpoints, lakes, and hiking spots.",,,3.8,LOW,7.6,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter"",""monsoon""}",41:49.0,41:49.0,41:49.0
,"Bhavali Dam & Waterfall
Viewpoint",GENERAL,,Nashik,Maharashtra,India,19.9218,73.6614,"A peaceful dam and reservoir surrounded by natural 
beauty and scenic landscapes. During monsoon, the overflow creates a seasonal waterfall that attracts many visitors. Its a nice location for photography, cycling, and sunset views.",,,4,MEDIUM,8,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter""}",41:49.0,41:49.0,41:49.0
,Vihigaon Ashoka Waterfall,GENERAL,,Nashik,Maharashtra,India,19.7098,73.4776,"A popular seasonal waterfall known for rapelling, 
adventure activities, and scenic monsoon trekking. The lush greenery and flowing water make it a perfect nature escape. Many people visit during rainy season for photography and picnics.",,,3.7,HIGH,7.4,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""summer""}",41:49.0,41:49.0,41:49.0
,Camel Valley Point,GENERAL,,Nashik,Maharashtra,India,19.6804,73.5732,"A stunning viewpoint near Igatpuri overlooking deep 
green valleys and flowing streams. The area is especially beautiful during monsoon when clouds float at eye level. It is a favorite stop for bikers, tourists, and photographers.",,,3.9,MEDIUM,7.8,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter"",""monsoon""}",41:49.0,41:49.0,41:49.0
,Kasara Ghat,GENERAL,,Nashik,Maharashtra,India,19.67,73.48,"A scenic mountain pass known for deep forest views, 
fog-covered hills, and dramatic road curves. Popular among travelers for monsoon drives, nature watching, and landscape photography. The railway route passing through tunnels adds to its uniqueness.",,,4.1,LOW,8.2,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter""}",41:49.0,41:49.0,41:49.0
,Tringalwadi Fort,GENERAL,,Nashik,Maharashtra,India,19.648,73.601,"A scenic hill fort near Igatpuri known for its flat-top 
structure and wide valley views. The trekking route is moderate, passing through forest patches and open grasslands. The fort offers amazing monsoon scenery and views of the nearby Tringalwadi Lake.",,,3.9,LOW,7.8,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""summer""}",41:49.0,41:49.0,41:49.0
,Kavnai Fort,GENERAL,,Nashik,Maharashtra,India,19.7734,73.6194,"A lesser-explored trekking fort situated near Igatpuri 
offering beautiful 360-degree views. The climb is short and suitable for beginners or casual hikers. The surrounding lake, hills, and open fields create a peaceful natural setting.",,,3.8,HIGH,7.6,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""summer""}",41:49.0,41:49.0,41:49.0
,Bramhagiri Hills,GENERAL,,Nashik,Maharashtra,India,19.56,73.32,"A scenic hill range known for trekking, viewpoints, 
temples and mythological references. The climb offers panoramic valley views and refreshing winds, especially during monsoon and winter. Devotees and trekkers frequently visit as part of Trimbakeshwar tourism.",,,3.9,LOW,7.8,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter""}",41:49.0,41:49.0,41:49.0
,"Shree Kapaleshwar 
Mahadev Temple",GENERAL,,Nashik,Maharashtra,India,20.0027,73.7909,"One of the oldest temples in Nashik located on the 
banks of the Godavari River. The temple is quiet, peaceful, and popular among devotees and locals. The nearby riverfront adds a spiritual calmness to the visit experience.",,,3.9,MEDIUM,7.8,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter""}",41:49.0,41:49.0,41:49.0
,Gargoti Museum,GENERAL,,Nashik,Maharashtra,India,20.157,73.987,"One of the largest mineral and gemstone museums in 
Asia, showcasing rare crystals, fossils, rocks, and geodes. Visitors can explore unique earth science exhibits, making it educational and exciting. Popular among students, families, and geology enthusiasts.",,,4,MEDIUM,8,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter"",""monsoon""}",41:49.0,41:49.0,41:49.0
,Gondeshwar Temple,GENERAL,,Nashik,Maharashtra,India,19.853,74.0006,"Ancient and historic temple located in Sinnar, known 
for its architectural and cultural heritage. The temple is a significant religious site for devotees and reflects old-era craftsmanship. Good for those interested in history, architecture, and religious tourism.",,,4.1,HIGH,8.2,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter"",""monsoon""}",41:49.0,41:49.0,41:49.0
,"Dadasaheb Phalke
 Memorial",GENERAL,,Nashik,Maharashtra,India,19.9437,73.7504,"A cultural museum and landscaped garden dedicated to Dadasaheb Phalke, the father of Indian cinema. The memorial includes photo galleries, film history displays, open theatre areas, fountains and peaceful walking paths. Its located close to Pandavleni hills, making it a good combined visit for families and heritage lovers.",,,3.9,HIGH,7.8,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter""}",41:49.0,41:49.0,41:49.0
,"Swaminarayan Temple, Nashik",GENERAL,,Nashik,Maharashtra,India,20.0034,73.8053,"A beautifully built temple known for its intricate carvings, spacious surroundings and peaceful spiritual environment. The temple attracts devotees and tourists for its calm atmosphere, well-maintained gardens and devotional activities. It is a popular family-friendly religious stop in Nashik.",,,4.1,LOW,8.2,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter"",""monsoon""}",41:49.0,41:49.0,41:49.0
,Soma Vine Village,GENERAL,,Nashik,Maharashtra,India,19.9953,73.7808,"A beautiful vineyard estate offering wine tasting, 
scenic countryside views, lake-side ambience and comfortable stays. Popular among couples and weekend visitors for its calm atmosphere and sunset views over vineyards. Hosts occasional events, local food stalls and seasonal activities.",,,3.7,MEDIUM,7.4,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""summer""}",41:49.0,41:49.0,41:49.0
,York Winery & Tasting Room,GENERAL,,Nashik,Maharashtra,India,20.002,73.785,"A boutique winery and tasting room offering local 
wines, vineyard-side seating, and occasional live music or food pairings. Great for a relaxed evening or small group visits away from city bustle. Suitable for travelers interested in wine tourism and vineyard culture.",,,3.7,HIGH,7.4,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter"",""monsoon""}",41:49.0,41:49.0,41:49.0
,Zonkers Adventure Park,GENERAL,,Nashik,Maharashtra,India,20.01,73.66,"A fun adventure park offering go-karting, ATV rides, 
trampolines, paintball and other thrill-based activities  ideal for youth and families. Good for a full-day outing, especially with friends or groups. Provides a mix of adventure, games, and outdoor fun close to Nashik.",,,4.1,HIGH,8.2,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""summer""}",41:49.0,41:49.0,41:49.0
,Navra Navri Fort,GENERAL,,Nashik,Maharashtra,India,19.595,73.4723,"An old fort (or hill-fort ruin) offering rough trekking
paths, panoramic views and a sense of history. Less crowded, making it a quiet getaway for adventurers and history-curious travellers. Trek gives modest challenge and leads to pleasant hill-top vistas.",,,3.9,LOW,7.8,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter""}",41:49.0,41:49.0,41:49.0
,Mangi Tungi,GENERAL,,Nashik,Maharashtra,India,20.5032,74.0504,"A twin-peak hill massif known for its rock-cut Jain 
temples, ancient statues and spiritual significance. Visited by pilgrims and trekkers alike, combining meditation/spiritual vibes with nature and trekking challenge. The trails pass through forested slopes and rocky terrain.",,,3.9,HIGH,7.8,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter""}",41:49.0,41:49.0,41:49.0
,Shree Navshya Ganapati Temple,GENERAL,,Nashik,Maharashtra,India,19.9758,73.764,"A riverside temple dedicated to Lord Ganesha, offering
tranquil surroundings by the Godavari. Known for calm ambience, evening aarti, clean ghats and devotion-friendly environment. Good for families or devotees seeking peaceful worship near the city.",,,3.8,HIGH,7.6,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter"",""monsoon""}",41:49.0,41:49.0,41:49.0
,Jain Mandir (Nashik),GENERAL,,Nashik,Maharashtra,India,19.95,73.78,"A beautiful Jain temple with marble architecture, peaceful interiors and regular prayer rituals. Popular among devotees and tourists interested in religious architecture and calm temple visits. Easily accessible, making it suitable for short trips within city limits.",,,4.2,MEDIUM,8.4,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""summer""}",41:49.0,41:49.0,41:49.0
,Kumaramangalam Artillery Museum,GENERAL,,Nashik,Maharashtra,India,19.93,73.755,"A small military-history museum (or memorial) showcasing old artillery, weapons, and historic exhibits. Interesting for history buffs, students and those curious about military heritage. Offers a unique cultural stop compared to typical tourist spots.",,,4.1,MEDIUM,8.2,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""summer""}",41:49.0,41:49.0,41:49.0
,Sundarnarayan Temple,GENERAL,,Nashik,Maharashtra,India,20.01,73.79,"A modest Hindu temple nestled in a quiet locality, 
offering calm spiritual vibes and local religious experience. Less touristy  good for visitors seeking peaceful worship and local culture. The temple surroundings are simple and accessible.",,,4.1,MEDIUM,8.2,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""summer""}",41:49.0,41:49.0,41:49.0
,Ozarkhed Dam,GENERAL,,Nashik,Maharashtra,India,20.1648,73.5233,"A tranquil dam and reservoir with surrounding natural
landscape, ideal for fishing, picnics and lazy countryside visits. The water body and greenery make it a calm escape from urban hustle. Good for a half-day outing or weekend relaxation.",,,3.7,HIGH,7.4,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""summer""}",41:49.0,41:49.0,41:49.0
,Durg Bhandar,GENERAL,,Nashik,Maharashtra,India,19.9196,73.519,"A small hill-oriented place (or village-hill area) offering 
simple trekking, rural scenery and occasional caves/forest patches. Suitable for light adventure or nature-walk lovers who prefer offbeat spots. Low crowd, peaceful surroundings.",,,3.9,MEDIUM,7.8,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter"",""monsoon""}",41:49.0,41:49.0,41:49.0
,Ranjangiri Fort,GENERAL,,Nashik,Maharashtra,India,19.91,73.63,"A lesser-known fort offering rustic trekking and valley 
views. The trek is moderate and passes through hills and forested terrain. Offers solitude and natural beauty for visitors keen on hiking without heavy crowds.",,,4,HIGH,8,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter"",""monsoon""}",41:49.0,41:49.0,41:49.0
,Bhaskargad,GENERAL,,Nashik,Maharashtra,India,19.9039,73.4306,"An older hill-fort (or fort-ruin) close to Nashik offering
basic trek paths, historic ruins and panoramic views of nearby hills and valleys. Cheap and easy to access; good for a quick afternoon trek or history-nature combo.",,,4.2,LOW,8.4,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""summer""}",41:49.0,41:49.0,41:49.0
,Nirmal Ganga Agro Tourism,GENERAL,,Nashik,Maharashtra,India,19.98,73.71,"A countryside agro-tourism orchard/farm stay area 
with rural ambiance, fruit orchards, and simple farm-life experience. Good for families or travelers wanting calm rural vibes, local food, and a break from city life. Seasonal fruit picking and farm walks may be available.",,,4.1,LOW,8.2,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""summer""}",41:49.0,41:49.0,41:49.0
,Botanical Garden Nashik,GENERAL,,Nashik,Maharashtra,India,19.9407,73.7441,"A green park or botanical garden within city/periphery 
offering plant collections, shaded walkways and a calm environment for walking or relaxation. Suitable for families, morning walks, and light nature exploration. Less crowded and easily accessible.",,,4.2,MEDIUM,8.4,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter""}",41:49.0,41:49.0,41:49.0
,Nandur Madhyameshwar Wildlife Sanctuary,GENERAL,,Nashik,Maharashtra,India,19.999,74.1035,"A wetland bird-sanctuary and natural habitat known for migratory birds, wetlands, boating and eco-tourism. Ideal for bird watchers, nature photographers and wildlife enthusiasts. Offers peaceful natural setting slightly away from city noise.",,,4,LOW,8,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter""}",41:49.0,41:49.0,41:49.0
,Peruchi Wadi,GENERAL,,Nashik,Maharashtra,India,20.0527,73.7265,"A rural village/valley region offering simple rural-village
 vibes, traditional agriculture landscapes and countryside tranquillity. Good for offbeat travel, cycling or experiencing rural life around Nashik. Suitable for travellers wanting rustic simplicity.",,,4.2,LOW,8.4,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""summer""}",41:49.0,41:49.0,41:49.0
,Chamar Leni (Jain Leni),GENERAL,,Nashik,Maharashtra,India,20.42,73.4733,"A small rock-cut cave complex with Jain heritage, 
ancient carvings and historical value. Good for heritage-tour lovers, archaeology-interested visitors or those exploring religious-historical spots. The serene location adds to the experience.",,,3.9,HIGH,7.8,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter""}",41:49.0,41:49.0,41:49.0
,Saptashrungi Temple,TEMPLE / HILL,,Vanik,Maharashtra,India,20.3917,73.907,"A revered temple situated on a mountain cliff surrounded by seven peaks. The location offers spiritual environment along with stunning natural views. Pilgrims visit throughout the year, especially during Navratri.","{""shakti"",""temple"",""hill""}",,4.3,LOW,8.6,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter""}",41:49.0,41:49.0,41:49.0
,Vaitarna Dam,DAM / NATURE,,Igatpuri,Maharashtra,India,19.6708,73.2905,"A calm and scenic lake-side location offering stunning
sunset views and peaceful surroundings. The area is popular among riders, photographers and visitors wanting a nature break. The quiet lakeside atmosphere makes it ideal for relaxation and casual outdoor exploration.","{""dam"",""nature"",""scenic""}",,3.8,HIGH,7.6,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter""}",41:49.0,41:49.0,41:49.0
,"Grape Park / Vinchur
 Wine Park",AGRO / WINE TOURISM,,Vinchur,Maharashtra,India,20.312,73.805,"A developing wine tourism and agricultural processing
zone dedicated to vineyards and wine-based industries. Visitors can explore grape farms, wineries, and training facilities related to viticulture. It represents Nashiks identity as India's wine capital.","{""wine"",""agro"",""industry""}",,4.2,LOW,8.4,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter"",""monsoon""}",41:49.0,41:49.0,41:49.0
,Deolali Camp,HERITAGE / CANTONMENT,,Deolali,Maharashtra,India,19.89,73.821,"One of India's oldest cantonment towns with British-
era buildings, greenery, and peaceful military surroundings. The area has temples, churches, parks, and cafes, making it a calm getaway from crowded city areas. It's great for slow travel, walks, and heritage lovers.","{""cantonment"",""heritage""}",,3.9,HIGH,7.8,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter"",""monsoon""}",41:49.0,41:49.0,41:49.0
,Igatpuri Hill Station,HILL STATION,,Igatpuri,Maharashtra,India,19.4142,73.3345,"A beautiful hill town known for lush mountains, misty 
views, and cool pleasant weather. Popular among nature lovers and weekend travelers from Mumbai and Nashik. The area has many viewpoints, lakes, and hiking spots.","{""hills"",""nature"",""weekend""}",,4.1,LOW,8.2,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""summer""}",41:49.0,41:49.0,41:49.0
,Vihigaon Ashoka Waterfall,WATERFALL / ADVENTURE,,Igatpuri,Maharashtra,India,19.7098,73.4776,"A popular seasonal waterfall known for rapelling, 
adventure activities, and scenic monsoon trekking. The lush greenery and flowing water make it a perfect nature escape. Many people visit during rainy season for photography and picnics.","{""waterfall"",""adventure"",""monsoon""}",,3.7,HIGH,7.4,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter""}",41:49.0,41:49.0,41:49.0
,Camel Valley Point,VIEWPOINT,,Igatpuri,Maharashtra,India,19.6804,73.5732,"A stunning viewpoint near Igatpuri overlooking deep 
green valleys and flowing streams. The area is especially beautiful during monsoon when clouds float at eye level. It is a favorite stop for bikers, tourists, and photographers.","{""viewpoint"",""monsoon"",""photography""}",,4.1,HIGH,8.2,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""summer""}",41:49.0,41:49.0,41:49.0
,Kasara Ghat,GHAT / SCENIC DRIVE,,Kasara,Maharashtra,India,19.67,73.48,"A scenic mountain pass known for deep forest views, 
fog-covered hills, and dramatic road curves. Popular among travelers for monsoon drives, nature watching, and landscape photography. The railway route passing through tunnels adds to its uniqueness.","{""ghat"",""scenic"",""drive""}",,4.2,MEDIUM,8.4,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter""}",41:49.0,41:49.0,41:49.0
,Tringalwadi Fort,FORT / TREK,,Igatpuri,Maharashtra,India,19.648,73.601,"A scenic hill fort near Igatpuri known for its flat-top 
structure and wide valley views. The trekking route is moderate, passing through forest patches and open grasslands. The fort offers amazing monsoon scenery and views of the nearby Tringalwadi Lake.","{""fort"",""trekking""}",,3.9,HIGH,7.8,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter""}",41:49.0,41:49.0,41:49.0
,Kavnai Fort,FORT / TREK,,Igatpuri,Maharashtra,India,19.7734,73.6194,"A lesser-explored trekking fort situated near Igatpuri 
offering beautiful 360-degree views. The climb is short and suitable for beginners or casual hikers. The surrounding lake, hills, and open fields create a peaceful natural setting.","{""fort"",""trek""}",,4,HIGH,8,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter""}",41:49.0,41:49.0,41:49.0
,Gargoti Museum,MUSEUM,,Sinnar,Maharashtra,India,20.157,73.987,"One of the largest mineral and gemstone museums in 
Asia, showcasing rare crystals, fossils, rocks, and geodes. Visitors can explore unique earth science exhibits, making it educational and exciting. Popular among students, families, and geology enthusiasts.","{""museum"",""minerals"",""education""}",,3.7,HIGH,7.4,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""summer""}",41:49.0,41:49.0,41:49.0
,Gondeshwar Temple,TEMPLE / HERITAGE,,Sinnar,Maharashtra,India,19.853,74.0006,"Ancient and historic temple located in Sinnar, known 
for its architectural and cultural heritage. The temple is a significant religious site for devotees and reflects old-era craftsmanship. Good for those interested in history, architecture, and religious tourism.","{""temple"",""heritage"",""architecture""}",,4.2,HIGH,8.4,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""summer""}",41:49.0,41:49.0,41:49.0
,Nandur Madhyameshwar Wildlife Sanctuary,WILDLIFE SANCTUARY,,Niphad,Maharashtra,India,19.999,74.1035,"A wetland bird-sanctuary and natural habitat known for migratory birds, wetlands, boating and eco-tourism. Ideal for bird watchers, nature photographers and wildlife enthusiasts. Offers peaceful natural setting slightly away from city noise.","{""birds"",""wildlife""}",,4.5,HIGH,9,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter"",""monsoon""}",41:49.0,41:49.0,41:49.0
,Ellora Caves,HERITAGE / UNESCO,,Sambhajinagar,Maharashtra,India,20.0268,75.1771,"A UNESCO World Heritage Site featuring rock-cut Buddhist, Hindu, and Jain caves. The carvings and architecture date back to 6001000 AD. It reflects religious harmony and ancient Indian craftsmanship.","{""unesco"",""caves"",""history""}",,4.5,LOW,9,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter""}",41:49.0,41:49.0,41:49.0
